"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPVPHJLLMCDEKNHF00601162";3;2023;57;1;74;352000;176000;1;52;2;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;0;2;2;"";2;2;"";1;1;1;1;"";1;1;1;2;2;2;2;1;2;98;0;0;0;45
"TQRMNORSYHKLLQCDELIJB00656737";3;2023;62;1;90;473000;157666,67;1;208;3;2;2;0;1;2;1;2;0;2;0;6;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;0;98;0;0;0;199
"TQRMNOPXQHKKMLCDEKKGD00657577";3;2023;54;1;62;150000;150000;1;105;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;97
"TQRMNOPXWHKKMLCDEKKGD00657578";3;2023;54;1;62;210000;105000;1;103;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";4;1;"";5;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;95
"TQRMNOQPQHKKKRCDEKIFF00653606";3;2023;52;1;54;240000;120000;1;390;3;1;2;0;1;2;2;2;0;2;0;1;"";3;"";1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;3;"";4;1;1;1;"";1;1;1;2;2;2;2;2;0;98;0;0;0;329
"TQRMNOPWWHKOKSCDEKNHF00656808";3;2023;57;1;74;151000;37750;1;357;2;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;3;0;0;330
"TQRMNORTUHKLLQCDELIJB00656555";3;2023;62;1;90;150000;150000;1;201;3;1;2;0;1;1;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;"";3;2;"";4;2;1;1;"";1;1;1;3;2;2;2;1;0;98;0;0;0;214
"TQRMNOTYQHKMMRCDEJIBF00654032";3;2023;42;1;14;417000;208500;1;251;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;230
"TQRMNOTYRHKMMRCDEJIBF00654033";3;2023;42;1;14;100000;50000;1;275;3;1;2;0;1;1;2;2;0;2;0;8;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;247
"TQRMNOTYSHKMMRCDEJIBF00654111";3;2023;42;1;14;475000;237500;1;254;4;1;2;0;1;1;2;2;0;2;0;3;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;230
"TQRMNOQWTHKOLMCDEKIFF00653663";3;2023;52;1;54;264700;33087,5;1;212;4;3;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;8;2;6;1;"";4;1;"";4;1;1;1;"";1;1;1;3;2;2;2;1;0;2;3;0;0;276
"TQRMNORYYHKMLNCDEKLGH00654825";3;2023;55;1;66;255000;42500;1;200;5;3;2;0;2;2;2;0;0;0;0;1;"";1;"";1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;6;1;5;1;"";5;2;"";4;2;1;1;"";1;2;1;1;2;2;2;3;0;1;0;0;0;198
"TQRMNOPPYHKOKQCDEJMDB00658318";3;2023;46;1;30;90000;90000;1;283;2;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;2;"";4;1;1;1;"";1;1;1;3;2;2;2;1;0;98;0;0;0;280
"TQRMNOQTWHKOKQCDEJMDB00658297";3;2023;46;1;30;0;0;1;0;2;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;509
